Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,heatingReturnTemperature[C],heatingSupplyTemperature[C],massFlowRateHeating,ChilledWaterReturnTemperature[C],ChilledWaterSupplyTemperature[C],massFlowRateCooling
01/02/2006 14:30,1,2,1,14,30,138600,0,0,0,0,0,0
01/02/2006 14:40,1,2,1,14,40,139200,0,0,0,0,0,0
01/02/2006 14:50,1,2,1,14,50,139800,0,0,0,0,0,0
01/02/2006 15:00,1,2,1,15,0,140400,0,0,0,0,0,0
01/02/2006 15:10,1,2,1,15,10,141000,0,0,0,0,0,0
01/02/2006 15:20,1,2,1,15,20,141600,0,0,0,0,0,0
01/02/2006 15:30,1,2,1,15,30,142200,0,0,0,0,0,0
01/02/2006 15:40,1,2,1,15,40,142800,0,0,0,0,0,0
01/02/2006 15:50,1,2,1,15,50,143400,0,0,0,0,0,0
01/02/2006 16:00,1,2,1,16,0,144000,0,0,0,0,0,0
01/02/2006 16:10,1,2,1,16,10,144600,0,0,0,0,0,0
01/02/2006 16:20,1,2,1,16,20,145200,0,0,0,0,0,0
01/02/2006 16:30,1,2,1,16,30,145800,0,0,0,0,0,0
01/02/2006 16:40,1,2,1,16,40,146400,0,0,0,0,0,0
01/02/2006 16:50,1,2,1,16,50,147000,0,0,0,0,0,0
01/02/2006 17:00,1,2,1,17,0,147600,0,0,0,0,0,0
01/02/2006 17:10,1,2,1,17,10,148200,0,0,0,0,0,0
01/02/2006 17:20,1,2,1,17,20,148800,0,0,0,0,0,0
01/02/2006 17:30,1,2,1,17,30,149400,0,0,0,0,0,0
01/02/2006 17:40,1,2,1,17,40,150000,0,0,0,0,0,0
01/02/2006 17:50,1,2,1,17,50,150600,0,0,0,0,0,0
01/02/2006 18:00,1,2,1,18,0,151200,0,0,0,0,0,0
01/02/2006 18:10,1,2,1,18,10,151800,0,0,0,0,0,0
01/02/2006 18:20,1,2,1,18,20,152400,0,0,0,0,0,0
01/02/2006 18:30,1,2,1,18,30,153000,0,0,0,0,0,0
01/02/2006 18:40,1,2,1,18,40,153600,0,0,0,0,0,0
01/02/2006 18:50,1,2,1,18,50,154200,0,0,0,0,0,0
01/02/2006 19:00,1,2,1,19,0,154800,0,0,0,0,0,0
01/02/2006 19:10,1,2,1,19,10,155400,0,0,0,0,0,0
01/02/2006 19:20,1,2,1,19,20,156000,0,0,0,0,0,0
01/02/2006 19:30,1,2,1,19,30,156600,0,0,0,0,0,0
01/02/2006 19:40,1,2,1,19,40,157200,0,0,0,0,0,0
01/02/2006 19:50,1,2,1,19,50,157800,0,0,0,0,0,0
01/02/2006 20:00,1,2,1,20,0,158400,0,0,0,0,0,0
01/02/2006 20:10,1,2,1,20,10,159000,0,0,0,0,0,0
01/02/2006 20:20,1,2,1,20,20,159600,0,0,0,0,0,0
01/02/2006 20:30,1,2,1,20,30,160200,0,0,0,0,0,0
01/02/2006 20:40,1,2,1,20,40,160800,0,0,0,0,0,0
01/02/2006 20:50,1,2,1,20,50,161400,0,0,0,0,0,0
01/02/2006 21:00,1,2,1,21,0,162000,0,0,0,0,0,0
01/02/2006 21:10,1,2,1,21,10,162600,0,0,0,0,0,0
01/02/2006 21:20,1,2,1,21,20,163200,0,0,0,0,0,0
01/02/2006 21:30,1,2,1,21,30,163800,0,0,0,0,0,0
01/02/2006 21:40,1,2,1,21,40,164400,0,0,0,0,0,0
01/02/2006 21:50,1,2,1,21,50,165000,0,0,0,0,0,0
01/02/2006 22:00,1,2,1,22,0,165600,0,0,0,0,0,0
01/02/2006 22:10,1,2,1,22,10,166200,0,0,0,0,0,0
01/02/2006 22:20,1,2,1,22,20,166800,0,0,0,0,0,0
01/02/2006 22:30,1,2,1,22,30,167400,0,0,0,0,0,0
01/02/2006 22:40,1,2,1,22,40,168000,0,0,0,0,0,0
01/02/2006 22:50,1,2,1,22,50,168600,0,0,0,0,0,0
01/02/2006 23:00,1,2,1,23,0,169200,0,0,0,0,0,0
01/02/2006 23:10,1,2,1,23,10,169800,0,0,0,0,0,0
01/02/2006 23:20,1,2,1,23,20,170400,0,0,0,0,0,0
01/02/2006 23:30,1,2,1,23,30,171000,0,0,0,0,0,0
01/02/2006 23:40,1,2,1,23,40,171600,0,0,0,0,0,0
01/02/2006 23:50,1,2,1,23,50,172200,0,0,0,0,0,0
01/03/2006 00:00,1,3,2,0,0,172800,0,0,0,0,0,0
01/03/2006 00:10,1,3,2,0,10,173400,0,0,0,0,0,0
01/03/2006 00:20,1,3,2,0,20,174000,0,0,0,0,0,0
01/03/2006 00:30,1,3,2,0,30,174600,0,0,0,0,0,0
01/03/2006 00:40,1,3,2,0,40,175200,0,0,0,0,0,0
01/03/2006 00:50,1,3,2,0,50,175800,0,0,0,0,0,0
01/03/2006 01:00,1,3,2,1,0,176400,0,0,0,0,0,0
01/03/2006 01:10,1,3,2,1,10,177000,0,0,0,0,0,0
01/03/2006 01:20,1,3,2,1,20,177600,0,0,0,0,0,0
01/03/2006 01:30,1,3,2,1,30,178200,0,0,0,0,0,0
01/03/2006 01:40,1,3,2,1,40,178800,0,0,0,0,0,0
01/03/2006 01:50,1,3,2,1,50,179400,0,0,0,0,0,0
01/03/2006 02:00,1,3,2,2,0,180000,0,0,0,0,0,0
01/03/2006 02:10,1,3,2,2,10,180600,0,0,0,0,0,0
01/03/2006 02:20,1,3,2,2,20,181200,0,0,0,0,0,0
01/03/2006 02:30,1,3,2,2,30,181800,0,0,0,0,0,0
01/03/2006 02:40,1,3,2,2,40,182400,0,0,0,0,0,0
01/03/2006 02:50,1,3,2,2,50,183000,0,0,0,0,0,0
01/03/2006 03:00,1,3,2,3,0,183600,0,0,0,0,0,0
01/03/2006 03:10,1,3,2,3,10,184200,0,0,0,0,0,0
01/03/2006 03:20,1,3,2,3,20,184800,0,0,0,0,0,0
01/03/2006 03:30,1,3,2,3,30,185400,0,0,0,0,0,0
01/03/2006 03:40,1,3,2,3,40,186000,0,0,0,0,0,0
01/03/2006 03:50,1,3,2,3,50,186600,0,0,0,0,0,0
01/03/2006 04:00,1,3,2,4,0,187200,0,0,0,0,0,0
01/03/2006 04:10,1,3,2,4,10,187800,0,0,0,0,0,0
01/03/2006 04:20,1,3,2,4,20,188400,0,0,0,0,0,0
01/03/2006 04:30,1,3,2,4,30,189000,0,0,0,0,0,0
01/03/2006 04:40,1,3,2,4,40,189600,0,0,0,0,0,0
01/03/2006 04:50,1,3,2,4,50,190200,0,0,0,0,0,0
01/03/2006 05:00,1,3,2,5,0,190800,0,0,0,0,0,0
01/03/2006 05:10,1,3,2,5,10,191400,0,0,0,0,0,0
01/03/2006 05:20,1,3,2,5,20,192000,0,0,0,0,0,0
